date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:10:59	69/69	---MCZ	404	error ('Not%20Found')	text/plain	date:Mon,%2011%20Mar%202019%2019:10:59%20GMT	https://icodrops.com/robots.txt		(from )
22:10:59	101584/101584	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Mar%202019%2019:10:59%20GMT	https://icodrops.com/	C:/My%20Web%20Sites/bounty/index-2.html	(from )
22:10:59	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2011%20Mar%202019%2019:10:59%20GMT	http://icodrops.com/wp-content/uploads/2017/08/cropped-Group.png	C:/My%20Web%20Sites/bounty/wp-content/uploads/2017/08/cropped-Group.0.delayed	(from https://icodrops.com/)
22:11:00	3612/3612	---M--	200	added ('OK')	image/png	etag:%225ab3f91e-e1c%22	https://icodrops.com/wp-content/uploads/2017/08/cropped-Group.png	C:/My%20Web%20Sites/bounty/wp-content/uploads/2017/08/cropped-Group.png	(from https://icodrops.com/)
22:11:00	164275/164275	---MCZ	200	added ('OK')	text/css	etag:W/%225c32c80d-281b3%22	https://icodrops.com/wp-content/cache/autoptimize/css/autoptimize_6a46d16092cadc99c1fe5d5889659a95.css	C:/My%20Web%20Sites/bounty/wp-content/cache/autoptimize/css/autoptimize_6a46d16092cadc99c1fe5d5889659a95.css	(from https://icodrops.com/)
22:11:00	97184/97184	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ab2057d-17ba0%22	https://icodrops.com/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/My%20Web%20Sites/bounty/wp-includes/js/jquery/jqueryb8ff.js	(from https://icodrops.com/)
22:11:00	4850/4850	---MC-	520	error ('Origin%20Error')	text/html	date:Mon,%2011%20Mar%202019%2019:11:00%20GMT	https://icodrops.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/bounty/xmlrpc0db0.php	(from https://icodrops.com/)
22:11:00	1045/1045	---MCZ	200	added ('OK')	text/xml	etag:W/%225ab2057d-415%22	https://icodrops.com/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/bounty/wp-includes/wlwmanifest.xml	(from https://icodrops.com/)
22:11:01	3768/3768	---M--	200	added ('OK')	image/png	etag:%225c2cd108-eb8%22	https://icodrops.com/favicons/apple-touch-icon.png	C:/My%20Web%20Sites/bounty/favicons/apple-touch-icon.png	(from https://icodrops.com/)
22:11:01	1537/1537	---M--	200	added ('OK')	image/png	etag:%225c2cd108-601%22	https://icodrops.com/favicons/favicon-32x32.png	C:/My%20Web%20Sites/bounty/favicons/favicon-32x32.png	(from https://icodrops.com/)
22:11:01	946/946	---M--	200	added ('OK')	image/png	etag:%225c2cd108-3b2%22	https://icodrops.com/favicons/favicon-16x16.png	C:/My%20Web%20Sites/bounty/favicons/favicon-16x16.png	(from https://icodrops.com/)
22:11:01	484/484	---M--	200	added ('OK')	application/octet-stream	etag:%225c2cd108-1e4%22	https://icodrops.com/favicons/site.webmanifest	C:/My%20Web%20Sites/bounty/favicons/site.webmanifest	(from https://icodrops.com/)
22:11:01	7937/7937	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225c2cd108-1f01%22	https://icodrops.com/favicons/safari-pinned-tab.svg	C:/My%20Web%20Sites/bounty/favicons/safari-pinned-tab.svg	(from https://icodrops.com/)
22:11:02	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2011%20Mar%202019%2019:11:02%20GMT	https://icodrops.com/favicons/favicon.ico	C:/My%20Web%20Sites/bounty/favicons/favicon.ico	(from https://icodrops.com/)
22:11:02	555/555	---M--	200	added ('OK')	image/png	etag:%225ab3f91f-22b%22	https://icodrops.com/wp-content/uploads/2017/08/cropped-Group-32x32.png	C:/My%20Web%20Sites/bounty/wp-content/uploads/2017/08/cropped-Group-32x32.png	(from https://icodrops.com/)
22:11:02	4219/4219	---M--	200	added ('OK')	image/png	etag:%225ab3f91e-107b%22	https://icodrops.com/wp-content/uploads/2017/08/cropped-Group-192x192.png	C:/My%20Web%20Sites/bounty/wp-content/uploads/2017/08/cropped-Group-192x192.png	(from https://icodrops.com/)
22:11:02	2145/2145	---M--	200	added ('OK')	image/png	etag:%225ab3f91f-861%22	https://icodrops.com/wp-content/uploads/2017/08/cropped-Group-180x180.png	C:/My%20Web%20Sites/bounty/wp-content/uploads/2017/08/cropped-Group-180x180.png	(from https://icodrops.com/)
22:11:03	986/986	---M--	200	added ('OK')	image/png	etag:%225c260baa-3da%22	https://icodrops.com/wp-content/uploads/2017/09/BitSale-logo.png	C:/My%20Web%20Sites/bounty/wp-content/uploads/2017/09/BitSale-logo.png	(from https://icodrops.com/)
22:11:03	1258/1258	---M--	200	added ('OK')	image/png	etag:%225ab3f90d-4ea%22	https://icodrops.com/wp-content/uploads/2017/09/LogoDrops.png	C:/My%20Web%20Sites/bounty/wp-content/uploads/2017/09/LogoDrops.png	(from https://icodrops.com/)
22:11:03	1356/1356	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ab2057d-54c%22	https://icodrops.com/wp-content/themes/ico-drops-2-0/img/Search.svg	C:/My%20Web%20Sites/bounty/wp-content/themes/ico-drops-2-0/img/Search.svg	(from https://icodrops.com/)
22:11:03	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2011%20Mar%202019%2019:11:03%20GMT	http://icodrops.com/wp-content/plugins/a3-lazy-load/assets/images/lazy_placeholder.gif	C:/My%20Web%20Sites/bounty/wp-content/plugins/a3-lazy-load/assets/images/lazy_placeholder.gif	(from https://icodrops.com/)
22:11:03	42/42	---M--	200	added ('OK')	image/gif	etag:%225b934e7b-2a%22	https://icodrops.com/wp-content/plugins/a3-lazy-load/assets/images/lazy_placeholder.gif	C:/My%20Web%20Sites/bounty/wp-content/plugins/a3-lazy-load/assets/images/lazy_placeholder.gif	(from https://icodrops.com/)
22:11:04	5746/5746	---M--	200	added ('OK')	image/jpeg	etag:%225c63b539-1672%22	https://icodrops.com/wp-content/uploads/2018/06/Pledgecamp-150x150.jpg	C:/My%20Web%20Sites/bounty/wp-content/uploads/2018/06/Pledgecamp-150x150.jpg	(from https://icodrops.com/)
22:11:04	1896361/1896361	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Mar%202019%2019:11:04%20GMT	https://icodrops.com/ico-stats/	C:/My%20Web%20Sites/bounty/ico-stats/index.html	(from https://icodrops.com/)
22:11:04	3164/3164	---M--	200	added ('OK')	image/jpeg	etag:%225ab3f91d-c5c%22	https://icodrops.com/wp-content/uploads/2017/12/Q4Z0ZyKL_400x400-150x150.jpg	C:/My%20Web%20Sites/bounty/wp-content/uploads/2017/12/Q4Z0ZyKL_400x400-150x150.jpg	(from https://icodrops.com/)
22:11:04	2402/2402	---M--	200	added ('OK')	image/jpeg	etag:%225b85a561-962%22	https://icodrops.com/wp-content/uploads/2018/08/Universal-Protocol-Logo-150x150.jpg	C:/My%20Web%20Sites/bounty/wp-content/uploads/2018/08/Universal-Protocol-Logo-150x150.jpg	(from https://icodrops.com/)
22:11:04	1453/1453	---M--	200	added ('OK')	image/jpeg	etag:%225b97aa99-5ad%22	https://icodrops.com/wp-content/uploads/2018/09/Contentos-Logo-150x150.jpg	C:/My%20Web%20Sites/bounty/wp-content/uploads/2018/09/Contentos-Logo-150x150.jpg	(from https://icodrops.com/)
22:11:05	3213/3213	---M--	200	added ('OK')	image/jpeg	etag:%225affef29-c8d%22	https://icodrops.com/wp-content/uploads/2018/05/Webloc-logo-150x150.jpg	C:/My%20Web%20Sites/bounty/wp-content/uploads/2018/05/Webloc-logo-150x150.jpg	(from https://icodrops.com/)
22:11:05	76044/76044	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Mar%202019%2019:11:05%20GMT	https://icodrops.com/whitelist/	C:/My%20Web%20Sites/bounty/whitelist/index.html	(from https://icodrops.com/)
22:11:05	2165/2165	---M--	200	added ('OK')	image/jpeg	etag:%225c5240d9-875%22	https://icodrops.com/wp-content/uploads/2018/05/Harmony-150x150.jpg	C:/My%20Web%20Sites/bounty/wp-content/uploads/2018/05/Harmony-150x150.jpg	(from https://icodrops.com/)
22:11:05	1250/1250	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ab2057d-4e2%22	https://icodrops.com/wp-content/themes/ico-drops-2-0/img/home_right.svg	C:/My%20Web%20Sites/bounty/wp-content/themes/ico-drops-2-0/img/home_right.svg	(from https://icodrops.com/)
22:11:06	2335/2335	---M--	200	added ('OK')	image/jpeg	etag:%225c40a2c2-91f%22	https://icodrops.com/wp-content/uploads/2018/03/Lightstreams-150x150.jpg	C:/My%20Web%20Sites/bounty/wp-content/uploads/2018/03/Lightstreams-150x150.jpg	(from https://icodrops.com/)
22:11:06	2029/2029	---M--	200	added ('OK')	image/jpeg	etag:%225c4c6ecf-7ed%22	https://icodrops.com/wp-content/uploads/2019/01/Lition-150x150.jpg	C:/My%20Web%20Sites/bounty/wp-content/uploads/2019/01/Lition-150x150.jpg	(from https://icodrops.com/)
22:11:06	1895062/1895062	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Mar%202019%2019:11:06%20GMT	https://icodrops.com/category/ended-ico/	C:/My%20Web%20Sites/bounty/category/ended-ico/index.html	(from https://icodrops.com/)
22:11:06	2977/2977	---M--	200	added ('OK')	image/jpeg	etag:%225c7e7813-ba1%22	https://icodrops.com/wp-content/uploads/2018/05/Celer-150x150.jpg	C:/My%20Web%20Sites/bounty/wp-content/uploads/2018/05/Celer-150x150.jpg	(from https://icodrops.com/)
22:11:06	1368/1368	---M--	200	added ('OK')	image/jpeg	etag:%225b06e10c-558%22	https://icodrops.com/wp-content/uploads/2018/05/Uncloak-logo-150x150.jpg	C:/My%20Web%20Sites/bounty/wp-content/uploads/2018/05/Uncloak-logo-150x150.jpg	(from https://icodrops.com/)
22:11:06	3521/3521	---M--	200	added ('OK')	image/png	etag:%225b76eb97-dc1%22	https://icodrops.com/wp-content/uploads/2018/08/38645789_468953176906594_8200179194789888000_n-150x150.png	C:/My%20Web%20Sites/bounty/wp-content/uploads/2018/08/38645789_468953176906594_8200179194789888000_n-150x150.png	(from https://icodrops.com/)
22:11:07	4787/4787	---M--	200	added ('OK')	image/png	etag:%225b6de57e-12b3%22	https://icodrops.com/wp-content/uploads/2018/07/Chromopolis-Symbol-150x150.png	C:/My%20Web%20Sites/bounty/wp-content/uploads/2018/07/Chromopolis-Symbol-150x150.png	(from https://icodrops.com/)
22:11:07	268662/268662	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Mar%202019%2019:11:07%20GMT	https://icodrops.com/category/upcoming-ico/	C:/My%20Web%20Sites/bounty/category/upcoming-ico/index.html	(from https://icodrops.com/)
22:11:07	2692/2692	---M--	200	added ('OK')	image/jpeg	etag:%225b5767b7-a84%22	https://icodrops.com/wp-content/uploads/2018/06/Glass-Logo-150x150.jpg	C:/My%20Web%20Sites/bounty/wp-content/uploads/2018/06/Glass-Logo-150x150.jpg	(from https://icodrops.com/)
22:11:07	3118/3118	---M--	200	added ('OK')	image/jpeg	etag:%225ba20cd8-c2e%22	https://icodrops.com/wp-content/uploads/2018/06/Jura-Logo-1-150x150.jpg	C:/My%20Web%20Sites/bounty/wp-content/uploads/2018/06/Jura-Logo-1-150x150.jpg	(from https://icodrops.com/)
22:11:08	2029/2029	---M--	200	added ('OK')	image/jpeg	etag:%225b190ada-7ed%22	https://icodrops.com/wp-content/uploads/2018/06/DUO-Network-logo-150x150.jpg	C:/My%20Web%20Sites/bounty/wp-content/uploads/2018/06/DUO-Network-logo-150x150.jpg	(from https://icodrops.com/)
22:11:08	48227/48227	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Mar%202019%2019:11:08%20GMT	https://icodrops.com/category/active-ico/	C:/My%20Web%20Sites/bounty/category/active-ico/index.html	(from https://icodrops.com/)
22:11:08	2748/2748	---M--	200	added ('OK')	image/jpeg	etag:%225b0c3e04-abc%22	https://icodrops.com/wp-content/uploads/2018/05/Agora-logo-150x150.jpg	C:/My%20Web%20Sites/bounty/wp-content/uploads/2018/05/Agora-logo-150x150.jpg	(from https://icodrops.com/)
22:11:08	2425/2425	---M--	200	added ('OK')	image/jpeg	etag:%225af3d1c3-979%22	https://icodrops.com/wp-content/uploads/2018/05/Eloncity-logo-150x150.jpg	C:/My%20Web%20Sites/bounty/wp-content/uploads/2018/05/Eloncity-logo-150x150.jpg	(from https://icodrops.com/)
22:11:08	2359/2359	---M--	200	added ('OK')	image/jpeg	etag:%225ad90f81-937%22	https://icodrops.com/wp-content/uploads/2018/04/Solana-logo-150x150.jpg	C:/My%20Web%20Sites/bounty/wp-content/uploads/2018/04/Solana-logo-150x150.jpg	(from https://icodrops.com/)
22:11:09	6220/6220	---M--	200	added ('OK')	image/png	etag:%225b4c8224-184c%22	https://icodrops.com/wp-content/uploads/2018/04/NOIA-150x150.png	C:/My%20Web%20Sites/bounty/wp-content/uploads/2018/04/NOIA-150x150.png	(from https://icodrops.com/)
22:11:09	5394/5394	---M--	200	added ('OK')	image/png	etag:%225bad07d2-1512%22	https://icodrops.com/wp-content/uploads/2018/03/luUnSJPw-150x150.png	C:/My%20Web%20Sites/bounty/wp-content/uploads/2018/03/luUnSJPw-150x150.png	(from https://icodrops.com/)
22:11:09	1607/1607	---M--	200	added ('OK')	image/jpeg	etag:%225ab7c315-647%22	https://icodrops.com/wp-content/uploads/2018/03/BOOSTO-logo.jpg	C:/My%20Web%20Sites/bounty/wp-content/uploads/2018/03/BOOSTO-logo.jpg	(from https://icodrops.com/)
22:11:09	23718/23718	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Mar%202019%2019:11:09%20GMT	https://icodrops.com/disclaimer/	C:/My%20Web%20Sites/bounty/disclaimer/index.html	(from https://icodrops.com/)
22:11:09	3285/3285	---M--	200	added ('OK')	image/jpeg	etag:%225c841b1f-cd5%22	https://icodrops.com/wp-content/uploads/2019/03/Dos-Network-150x150.jpg	C:/My%20Web%20Sites/bounty/wp-content/uploads/2019/03/Dos-Network-150x150.jpg	(from https://icodrops.com/)
22:11:09	1044/1044	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ab3f895-414%22	https://icodrops.com/wp-content/themes/ico-drops-2-0/img/NewMark.svg	C:/My%20Web%20Sites/bounty/wp-content/themes/ico-drops-2-0/img/NewMark.svg	(from https://icodrops.com/)
22:11:10	2074/2074	---M--	200	added ('OK')	image/jpeg	etag:%225b702aba-81a%22	https://icodrops.com/wp-content/uploads/2018/08/Magnachain-Logo-150x150.jpg	C:/My%20Web%20Sites/bounty/wp-content/uploads/2018/08/Magnachain-Logo-150x150.jpg	(from https://icodrops.com/)
22:11:10	2465/2465	---M--	200	added ('OK')	image/jpeg	etag:%225b880b48-9a1%22	https://icodrops.com/wp-content/uploads/2018/08/Terra-Logo-150x150.jpg	C:/My%20Web%20Sites/bounty/wp-content/uploads/2018/08/Terra-Logo-150x150.jpg	(from https://icodrops.com/)
22:11:10	1656/1656	---M--	200	added ('OK')	image/jpeg	etag:%225b12b771-678%22	https://icodrops.com/wp-content/uploads/2018/06/Fetch-Logo-150x150.jpg	C:/My%20Web%20Sites/bounty/wp-content/uploads/2018/06/Fetch-Logo-150x150.jpg	(from https://icodrops.com/)
22:11:10	40218/40218	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Mar%202019%2019:11:10%20GMT	https://icodrops.com/pledgecamp/	C:/My%20Web%20Sites/bounty/pledgecamp/index.html	(from https://icodrops.com/)
22:11:10	3455/3455	---M--	200	added ('OK')	image/jpeg	etag:%225ab3f923-d7f%22	https://icodrops.com/wp-content/uploads/2018/03/Cryptyk-logo-150x150.jpg	C:/My%20Web%20Sites/bounty/wp-content/uploads/2018/03/Cryptyk-logo-150x150.jpg	(from https://icodrops.com/)
22:11:11	3466/3466	---M--	200	added ('OK')	image/jpeg	etag:%225b1cf207-d8a%22	https://icodrops.com/wp-content/uploads/2018/06/Uranus-Logo-150x150.jpg	C:/My%20Web%20Sites/bounty/wp-content/uploads/2018/06/Uranus-Logo-150x150.jpg	(from https://icodrops.com/)
22:11:11	3318/3318	---M--	200	added ('OK')	image/jpeg	etag:%225b153f70-cf6%22	https://icodrops.com/wp-content/uploads/2018/06/Orvium-logo-150x150.jpg	C:/My%20Web%20Sites/bounty/wp-content/uploads/2018/06/Orvium-logo-150x150.jpg	(from https://icodrops.com/)
22:11:11	41652/41652	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Mar%202019%2019:11:11%20GMT	https://icodrops.com/oceanprotocol/	C:/My%20Web%20Sites/bounty/oceanprotocol/index.html	(from https://icodrops.com/)
22:11:11	4464/4464	---M--	200	added ('OK')	image/png	etag:%225c46ff08-1170%22	https://icodrops.com/wp-content/uploads/2019/01/BTT-150x150.png	C:/My%20Web%20Sites/bounty/wp-content/uploads/2019/01/BTT-150x150.png	(from https://icodrops.com/)
22:11:11	731/731	---M--	200	added ('OK')	image/png	etag:%225c252f1a-2db%22	https://icodrops.com/wp-content/uploads/2018/12/Vanta-Logo-150x150.png	C:/My%20Web%20Sites/bounty/wp-content/uploads/2018/12/Vanta-Logo-150x150.png	(from https://icodrops.com/)
22:11:11	2289/2289	---M--	200	added ('OK')	image/jpeg	etag:%225b3cdd8e-8f1%22	https://icodrops.com/wp-content/uploads/2018/07/Celes-Logo-150x150.jpg	C:/My%20Web%20Sites/bounty/wp-content/uploads/2018/07/Celes-Logo-150x150.jpg	(from https://icodrops.com/)
22:11:12	1619/1619	---M--	200	added ('OK')	image/jpeg	etag:%225be6b7bd-653%22	https://icodrops.com/wp-content/uploads/2018/11/Hara-Logo-150x150.jpg	C:/My%20Web%20Sites/bounty/wp-content/uploads/2018/11/Hara-Logo-150x150.jpg	(from https://icodrops.com/)
